city_actual,rating_reviewcount,dist_from_cityCenter,dist_from_Montelbaanstoren,neighbourhood,price,stars,rating2_ta,rating2_ta_reviewcount,accommodation_type,guestreviewsrating,scarce_room,hotel_id,offer,offer_cat,year,month,weekend,holiday,num_nights
Amsterdam,1030,3.1,3.6,Amsterdam,172,4,4,1115,Hotel,4.3 /5,0,1,0,0% no offer,2017,11,1,0,1
Amsterdam,1030,3.1,3.6,Amsterdam,122,4,4,1115,Hotel,4.3 /5,0,1,1,15-50% offer,2018,1,1,0,1
Amsterdam,1030,3.1,3.6,Amsterdam,122,4,4,1115,Hotel,4.3 /5,0,1,1,15-50% offer,2017,12,0,1,1
Amsterdam,1030,3.1,3.6,Amsterdam,552,4,4,1115,Hotel,4.3 /5,0,1,1,1-15% offer,2017,12,0,1,4
Amsterdam,1030,3.1,3.6,Amsterdam,122,4,4,1115,Hotel,4.3 /5,0,1,1,15-50% offer,2018,2,1,0,1
Amsterdam,1030,3.1,3.6,Amsterdam,114,4,4,1115,Hotel,4.3 /5,0,1,1,15-50% offer,2017,11,0,0,1
Amsterdam,372,0.9,0.8,Amsterdam,119,2,4,999,Hostel,4.1 /5,0,2,0,0% no offer,2017,11,0,0,1
Amsterdam,372,0.9,0.8,Amsterdam,119,2,4,999,Hostel,4.1 /5,0,2,0,0% no offer,2017,12,0,1,1
Amsterdam,372,0.9,0.8,Amsterdam,547,2,4,999,Hostel,4.1 /5,0,2,0,0% no offer,2017,12,0,1,4
Amsterdam,165,1.5,1.4,Amsterdam,118,4,4,674,Hotel,4.1 /5,0,3,1,15-50% offer,2017,12,0,1,1
Amsterdam,165,1.5,1.4,Amsterdam,217,4,4,674,Hotel,4.1 /5,1,3,0,0% no offer,2017,11,1,0,1
Amsterdam,165,1.5,1.4,Amsterdam,114,4,4,674,Hotel,4.1 /5,0,3,1,15-50% offer,2018,1,1,0,1
Amsterdam,165,1.5,1.4,Amsterdam,737,4,4,674,Hotel,4.1 /5,0,3,1,1-15% offer,2017,12,0,1,4
